t_s,timestamp,distance_m,speed_m_s,pace_s_per_km,hr,elev_m,cadence_spm,power_w,gap_speed_m_s,temp_c
1310.0,2026-09-21T18:51:37+00:00,3061.820068359375,2.7880001068115234,358.6800436473594,158.0,124.80000305175781,83.0,,,27.0
1316.0,2026-09-21T18:51:43+00:00,3079.070068359375,2.875,347.82608695652175,158.0,125.19999694824219,84.0,,,27.0
1322.0,2026-09-21T18:51:49+00:00,3096.0400390625,2.828000068664551,353.6067806646921,160.0,124.5999984741211,82.0,,,27.0
1328.0,2026-09-21T18:51:55+00:00,3112.5400390625,2.75,363.6363636363636,159.0,124.5999984741211,83.0,,,27.0
1334.0,2026-09-21T18:52:01+00:00,3129.0400390625,2.75,363.6363636363636,159.0,124.80000305175781,82.0,,,27.0
1340.0,2026-09-21T18:52:07+00:00,3145.800048828125,2.7929999828338623,358.0379542234618,159.0,124.5999984741211,83.0,,,27.0
1346.0,2026-09-21T18:52:13+00:00,3162.6298828125,2.805000066757202,356.50623037456023,158.0,124.4000015258789,84.0,,,27.0
1352.0,2026-09-21T18:52:19+00:00,3179.909912109375,2.880000114440918,347.2222084248513,158.0,124.80000305175781,83.0,,,27.0
1358.0,2026-09-21T18:52:25+00:00,3196.550048828125,2.7730000019073486,360.62026661095257,158.0,124.5999984741211,82.0,,,27.0
1364.0,2026-09-21T18:52:31+00:00,3213.090087890625,2.756999969482422,362.713097957608,158.0,124.5999984741211,82.0,,,27.0
1370.0,2026-09-21T18:52:37+00:00,3229.6298828125,2.756999969482422,362.713097957608,158.0,124.4000015258789,83.0,,,26.0
1376.0,2026-09-21T18:52:43+00:00,3247.1201171875,2.9149999618530273,343.0531777311973,159.0,124.5999984741211,84.0,,,26.0
1380.0,2026-09-21T18:52:47+00:00,3258.830078125,2.927000045776367,341.64673193052744,160.0,124.5999984741211,83.0,,,26.0
1386.0,2026-09-21T18:52:53+00:00,3270.409912109375,1.9299999475479126,518.1347291073824,159.0,124.0,69.0,,,26.0
1392.0,2026-09-21T18:52:59+00:00,3280.1298828125,1.6200000047683716,617.2839488003461,156.0,124.19999694824219,76.0,,,26.0
1396.0,2026-09-21T18:53:03+00:00,3280.1298828125,,,153.0,123.5999984741211,76.0,,,26.0
1397.0,2026-09-21T18:53:04+00:00,3280.1298828125,,,152.0,123.19999694824219,,,,26.0
1403.0,2026-09-21T18:53:10+00:00,3280.1298828125,,,151.0,123.0,,,,26.0
1409.0,2026-09-21T18:53:16+00:00,3283.1201171875,0.17599999904632568,,151.0,123.19999694824219,31.0,,,26.0
1415.0,2026-09-21T18:53:22+00:00,3283.1201171875,,,150.0,122.4000015258789,,,,26.0
1421.0,2026-09-21T18:53:28+00:00,3283.1201171875,,,149.0,122.80000305175781,,,,26.0
1427.0,2026-09-21T18:53:34+00:00,3284.8701171875,0.09700000286102295,,150.0,122.4000015258789,25.0,,,26.0
1429.0,2026-09-21T18:53:36+00:00,3284.8701171875,,,151.0,122.19999694824219,25.0,,,26.0
1435.0,2026-09-21T18:53:42+00:00,3284.8701171875,,,148.0,122.0,,,,26.0
1440.0,2026-09-21T18:53:47+00:00,3284.8701171875,,,149.0,121.80000305175781,,,,26.0
1446.0,2026-09-21T18:53:53+00:00,3288.610107421875,0.19699999690055847,,149.0,122.19999694824219,37.0,,,26.0
1452.0,2026-09-21T18:53:59+00:00,3290.68994140625,0.34700000286102295,2881.8443566425854,147.0,122.19999694824219,22.0,,,26.0
1454.0,2026-09-21T18:54:01+00:00,3290.68994140625,,,144.0,122.0,22.0,,,26.0
1456.0,2026-09-21T18:54:03+00:00,3290.68994140625,,,140.0,122.0,22.0,,,26.0
1458.0,2026-09-21T18:54:05+00:00,3290.68994140625,,,134.0,122.0,,,,26.0
1464.0,2026-09-21T18:54:11+00:00,3296.510009765625,0.48500001430511475,2061.855609288493,135.0,122.4000015258789,46.0,,,26.0
1470.0,2026-09-21T18:54:17+00:00,3296.510009765625,,,136.0,122.4000015258789,47.0,,,26.0
1476.0,2026-09-21T18:54:23+00:00,3299.22998046875,0.22699999809265137,,135.0,122.5999984741211,43.0,,,26.0
1480.0,2026-09-21T18:54:27+00:00,3304.3798828125,1.2869999408721924,777.0008126980222,132.0,122.4000015258789,52.0,,,26.0
1486.0,2026-09-21T18:54:33+00:00,3307.070068359375,0.4480000138282776,2232.1427882439953,131.0,122.5999984741211,52.0,,,26.0
1492.0,2026-09-21T18:54:39+00:00,3312.969970703125,0.9829999804496765,1017.2940181977896,132.0,122.5999984741211,40.0,,,26.0
1497.0,2026-09-21T18:54:44+00:00,3320.6298828125,1.531999945640564,652.7415375213197,129.0,122.5999984741211,71.0,,,26.0
1500.0,2026-09-21T18:54:47+00:00,3326.2900390625,1.8869999647140503,529.9417163219379,126.0,122.5999984741211,73.0,,,26.0
1502.0,2026-09-21T18:54:49+00:00,3330.080078125,1.8949999809265137,527.704490799559,129.0,122.5999984741211,73.0,,,26.0
1506.0,2026-09-21T18:54:53+00:00,3337.639892578125,1.8899999856948853,529.1005331052083,124.0,122.5999984741211,73.0,,,26.0
1507.0,2026-09-21T18:54:54+00:00,3339.530029296875,1.8899999856948853,529.1005331052083,121.0,122.5999984741211,73.0,,,26.0
1513.0,2026-09-21T18:55:00+00:00,3350.860107421875,1.8880000114440918,529.661013738618,121.0,122.4000015258789,73.0,,,26.0
1516.0,2026-09-21T18:55:03+00:00,3356.5,1.8799999952316284,531.9148949661532,118.0,122.5999984741211,73.0,,,26.0
1520.0,2026-09-21T18:55:07+00:00,3364.030029296875,1.8830000162124634,531.0674409931431,115.0,122.4000015258789,73.0,,,26.0
1524.0,2026-09-21T18:55:11+00:00,3371.6201171875,1.8980000019073486,526.8703893546231,112.0,122.0,74.0,,,26.0
1526.0,2026-09-21T18:55:13+00:00,3375.43994140625,1.909999966621399,523.560218573669,108.0,121.80000305175781,74.0,,,26.0
1530.0,2026-09-21T18:55:17+00:00,3383.050048828125,1.902999997138977,525.4860754090529,104.0,121.5999984741211,74.0,,,26.0
1532.0,2026-09-21T18:55:19+00:00,3386.860107421875,1.9049999713897705,524.9343910858233,101.0,121.80000305175781,74.0,,,26.0
1534.0,2026-09-21T18:55:21+00:00,3390.679931640625,1.909999966621399,523.560218573669,104.0,121.80000305175781,74.0,,,26.0
1538.0,2026-09-21T18:55:25+00:00,3398.360107421875,1.9199999570846558,520.8333449748658,111.0,121.80000305175781,75.0,,,26.0
1540.0,2026-09-21T18:55:27+00:00,3402.2099609375,1.9249999523162842,519.4805323484478,116.0,121.80000305175781,74.0,,,26.0
1543.0,2026-09-21T18:55:30+00:00,3407.969970703125,1.9199999570846558,520.8333449748658,119.0,121.80000305175781,74.0,,,26.0
1549.0,2026-09-21T18:55:36+00:00,3419.43994140625,1.9119999408721924,523.0125684752022,118.0,121.80000305175781,74.0,,,26.0
1555.0,2026-09-21T18:55:42+00:00,3431.070068359375,1.937999963760376,515.9958816818869,116.0,121.80000305175781,75.0,,,26.0
1558.0,2026-09-21T18:55:45+00:00,3436.969970703125,1.9670000076293945,508.3884067723967,119.0,121.5999984741211,76.0,,,26.0
1561.0,2026-09-21T18:55:48+00:00,3442.8798828125,1.9700000286102295,507.61420582590915,122.0,121.5999984741211,76.0,,,26.0
1563.0,2026-09-21T18:55:50+00:00,3446.800048828125,1.9600000381469727,510.2040717026833,119.0,121.5999984741211,76.0,,,26.0
1565.0,2026-09-21T18:55:52+00:00,3450.7099609375,1.9550000429153442,511.5089401782188,116.0,121.80000305175781,76.0,,,26.0
1571.0,2026-09-21T18:55:58+00:00,3462.469970703125,1.9600000381469727,510.2040717026833,115.0,121.80000305175781,76.0,,,26.0
1576.0,2026-09-21T18:56:03+00:00,3472.179931640625,1.9420000314712524,514.9330503575757,118.0,121.5999984741211,75.0,,,26.0
1579.0,2026-09-21T18:56:06+00:00,3478.030029296875,1.9500000476837158,512.8205002804169,115.0,121.4000015258789,76.0,,,26.0
1585.0,2026-09-21T18:56:12+00:00,3489.77001953125,1.9570000171661377,510.986198890312,112.0,121.80000305175781,76.0,,,26.0
1590.0,2026-09-21T18:56:17+00:00,3499.530029296875,1.9520000219345093,512.2950762105835,114.0,121.5999984741211,75.0,,,26.0
1593.0,2026-09-21T18:56:20+00:00,3505.719970703125,2.062999963760376,484.7309828242698,118.0,121.5999984741211,76.0,,,26.0
1596.0,2026-09-21T18:56:23+00:00,3513.18994140625,2.490000009536743,401.6064241646517,123.0,121.5999984741211,78.0,,,26.0
1599.0,2026-09-21T18:56:26+00:00,3521.300048828125,2.703000068664551,369.9592950783985,127.0,121.80000305175781,80.0,,,26.0
1602.0,2026-09-21T18:56:29+00:00,3529.72998046875,2.809999942779541,355.8718933676701,130.0,121.80000305175781,81.0,,,26.0
1604.0,2026-09-21T18:56:31+00:00,3535.5,2.884999990463257,346.62045175238484,133.0,121.80000305175781,82.0,,,26.0
1607.0,2026-09-21T18:56:34+00:00,3544.14990234375,2.882999897003174,346.86092116738604,137.0,121.80000305175781,82.0,,,26.0
1611.0,2026-09-21T18:56:38+00:00,3555.949951171875,2.950000047683716,338.9830453681454,140.0,122.0,83.0,,,26.0
1614.0,2026-09-21T18:56:41+00:00,3565.02001953125,3.0230000019073486,330.79722109462597,143.0,122.0,84.0,,,26.0
1618.0,2026-09-21T18:56:45+00:00,3577.239990234375,3.055000066757202,327.33223507306576,146.0,122.0,84.0,,,26.0
1623.0,2026-09-21T18:56:50+00:00,3592.14990234375,2.9820001125335693,335.3453931128055,149.0,121.4000015258789,85.0,,,26.0
1629.0,2026-09-21T18:56:56+00:00,3610.419921875,3.0450000762939453,328.4072167305477,151.0,122.0,85.0,,,26.0
1635.0,2026-09-21T18:57:02+00:00,3628.610107421875,3.0320000648498535,329.8152963758332,152.0,121.80000305175781,85.0,,,26.0
1640.0,2026-09-21T18:57:07+00:00,3644.030029296875,3.0840001106262207,324.25420367347044,155.0,122.0,86.0,,,26.0
1646.0,2026-09-21T18:57:13+00:00,3662.919921875,3.1480000019073486,317.6620074314192,156.0,122.19999694824219,86.0,,,26.0
1652.0,2026-09-21T18:57:19+00:00,3681.590087890625,3.111999988555908,321.33676210713605,158.0,121.4000015258789,85.0,,,26.0
1658.0,2026-09-21T18:57:25+00:00,3700.070068359375,3.0799999237060547,324.6753327177799,159.0,121.80000305175781,85.0,,,26.0
1664.0,2026-09-21T18:57:31+00:00,3718.530029296875,3.0769999027252197,324.9918854772552,160.0,121.80000305175781,85.0,,,26.0
1670.0,2026-09-21T18:57:37+00:00,3737.050048828125,3.0869998931884766,323.9391106577356,160.0,122.0,86.0,,,26.0
1676.0,2026-09-21T18:57:43+00:00,3755.47998046875,3.072000026702881,325.5208305037943,161.0,121.80000305175781,86.0,,,26.0
1682.0,2026-09-21T18:57:49+00:00,3772.93994140625,2.9100000858306885,343.6426015480821,162.0,121.5999984741211,83.0,,,26.0
1688.0,2026-09-21T18:57:55+00:00,3790.1201171875,2.86299991607666,349.28397810446313,163.0,122.19999694824219,83.0,,,26.0
1694.0,2026-09-21T18:58:01+00:00,3807.2900390625,2.861999988555908,349.4060111805152,163.0,121.80000305175781,83.0,,,26.0
1700.0,2026-09-21T18:58:07+00:00,3824.580078125,2.881999969482422,346.98126668599167,164.0,121.80000305175781,84.0,,,26.0
1706.0,2026-09-21T18:58:13+00:00,3841.8701171875,2.881999969482422,346.98126668599167,164.0,122.0,84.0,,,26.0
1712.0,2026-09-21T18:58:19+00:00,3859.43994140625,2.927999973297119,341.530057759507,164.0,122.0,86.0,,,26.0
1718.0,2026-09-21T18:58:25+00:00,3876.969970703125,2.921999931335449,342.23135643366265,165.0,122.0,84.0,,,26.0
